iter,grad
1,[1.]
2,[1.]
3,[1.]
4,[1.]
5,[1.]
6,[1.]
7,[-0.41]
8,[1.]
9,[1.]
10,[0.73]
11,[1.]
12,[1.]
13,[1.]
14,[1.]
15,[1.]
16,[0.96]
17,[1.]
18,[1.]
19,[1.]
20,[1.]
21,[1.]
22,[0.92]
23,[1.]
24,[1.]
25,[1.]
25,[0.99999999]
26,[0.95]
27,[1.]
27,[0.99999999]
28,[0.96]
29,[1.]
29,[1.]
30,[0.99]
31,[1.]
32,[0.99]
33,[1.]
33,[1.]
34,[1.]
34,[1.]
35,[1.]
35,[1.]
36,[0.99]
37,[1.]
37,[1.]
38,[0.99]
39,[1.]
40,[0.97]
