iter,fitness,timestep,solution
1,-60.30561268937786,15:21:29.053,-0.20426624999999987,-0.20426624999999987
2,-47.697353368259634,15:22:46.268,2.03774,-0.20426624999999987
3,-54.78350036148952,15:23:39.603,0.4867034314608134,-0.20426624999999987
4,-149.40972922209,15:24:31.914,0.0021300946421571876,-0.20426624999999987
5,-82.33111220940641,15:25:19.276,-0.07719333747648857,-0.20426624999999987
6,-149.40972922209,15:26:06.672,0.00042549898761407197,-0.20426624999999987
7,-149.40972922209,15:26:51.949,0.0017691370381384798,-0.20426624999999987
8,-149.40972922209,15:27:41.365,0.002053919472508157,-0.20426624999999987
9,-149.40972922209,15:28:26.655,0.0021140189135773024,-0.20426624999999987
10,-149.40972922209,15:29:11.950,0.0021267020793238303,-0.20426624999999987
11,-149.40972922209,15:30:01.233,0.0021293786881323934,-0.20426624999999987
12,-149.40972922209,15:30:48.532,0.002129943549844115,-0.20426624999999987
13,-149.40972922209,15:31:41.012,0.0021300627561892764,-0.20426624999999987
14,-149.40972922209,15:33:34.696,0.0021300943424677954,-0.20426624999999987
15,-51.07405190754412,15:39:28.472,-1.54947,-0.20426624999999987
16,-60.30561268937786,15:40:21.902,-0.20703215762553664,-0.20426624999999987
17,-149.38046582440933,15:41:14.359,-0.004670374417583772,-0.20426624999999987
18,-149.40972922209,15:41:59.652,0.0006765517068975642,-0.20426624999999987
19,-149.40972922209,15:42:44.957,0.0018222988468017257,-0.20426624999999987
20,-149.40972922209,15:43:30.304,0.0020651385457419575,-0.20426624999999987
21,-149.40972922209,15:44:19.620,0.0021163865456686583,-0.20426624999999987
22,-149.40972922209,15:45:04.928,0.0021272017357218155,-0.20426624999999987
23,-149.40972922209,15:45:50.256,0.002129484133787117,-0.20426624999999987
24,-149.40972922209,15:46:35.551,0.002129965802708655,-0.20426624999999987
25,-149.40972922209,15:47:20.849,0.0021300674523522436,-0.20426624999999987
